# Molecular weight, critical temperature, critical pressure and acentric factor for some common compounds
# Data from Perry's Chemical Engineers' Handbook, 8th edition, Table 2-141
# compound molweight(amu) Tc(kelvin) Pc(MPa) omega(-)
Ar,39.948,150.86,4.898,0.0000
He,4.003,5.2,0.2275,-0.3900
N2,28.013,126.2,3.4,0.0377
H2,2.016,33.19,1.313,-0.2160
O2,31.999,154.58,5.043,0.0222
CO,28.010,132.92,3.499,0.0482
CO2,44.010,304.21,7.383,0.2236
NH3,17.031,405.65,11.28,0.2526
CH4,16.042,190.564,4.599,0.0115
H2O,18.015,647.096,22.064,0.3449
C2H6,30.069,305.32,4.872,0.0995
C2H2,26.037,308.3,6.138,0.1912
C3H8,44.096,369.83,4.248,0.1523
C4H10,58.122,425.12,3.796,0.2002
C6H6,78.112,562.05,4.895,0.2103
C6H14,86.175,507.6,3.025,0.3013
